site;code insee;période;heure;zone;comptage - entrées
Rennes les champs libres;35238;02/01/2013;12:00;1er étage vie du citoyen, 1er etage vie du citoyen;10
Rennes les champs libres;35238;02/01/2013;12:00;RdC champs libres, rdc 2;5
Rennes les champs libres;35238;02/01/2013;12:00;RdC champs libres, rdc 3;207
Rennes les champs libres;35238;02/01/2013;12:00;RdC champs libres, rdc 4;45
Rennes les champs libres;35238;02/01/2013;12:00;RdC champs libres, rdc retour;11
Rennes les champs libres;35238;02/01/2013;12:00;RdC vie du citoyen, rdc vie du citoyen;76
Rennes les champs libres;35238;02/01/2013;13:00;1er étage vie du citoyen, 1er etage vie du citoyen;18
Rennes les champs libres;35238;02/01/2013;13:00;RdC champs libres, rdc 2;5
Rennes les champs libres;35238;02/01/2013;13:00;RdC champs libres, rdc 3;231
Rennes les champs libres;35238;02/01/2013;13:00;RdC champs libres, rdc 4;65
Rennes les champs libres;35238;02/01/2013;13:00;RdC champs libres, rdc retour;9
Rennes les champs libres;35238;02/01/2013;13:00;RdC vie du citoyen, rdc vie du citoyen;76
Rennes les champs libres;35238;02/01/2013;14:00;1er étage vie du citoyen, 1er etage vie du citoyen;27
Rennes les champs libres;35238;02/01/2013;14:00;RdC champs libres, rdc 2;12
Rennes les champs libres;35238;02/01/2013;14:00;RdC champs libres, rdc 3;366
Rennes les champs libres;35238;02/01/2013;14:00;RdC champs libres, rdc 4;120
Rennes les champs libres;35238;02/01/2013;14:00;RdC champs libres, rdc retour;22
Rennes les champs libres;35238;02/01/2013;14:00;RdC vie du citoyen, rdc vie du citoyen;146
Rennes les champs libres;35238;02/01/2013;15:00;1er étage vie du citoyen, 1er etage vie du citoyen;20
Rennes les champs libres;35238;02/01/2013;15:00;RdC champs libres, rdc 2;13
Rennes les champs libres;35238;02/01/2013;15:00;RdC champs libres, rdc 3;406
Rennes les champs libres;35238;02/01/2013;15:00;RdC champs libres, rdc 4;112
Rennes les champs libres;35238;02/01/2013;15:00;RdC champs libres, rdc retour;30
Rennes les champs libres;35238;02/01/2013;15:00;RdC vie du citoyen, rdc vie du citoyen;111
Rennes les champs libres;35238;02/01/2013;16:00;1er étage vie du citoyen, 1er etage vie du citoyen;26
Rennes les champs libres;35238;02/01/2013;16:00;RdC champs libres, rdc 2;18
Rennes les champs libres;35238;02/01/2013;16:00;RdC champs libres, rdc 3;378
Rennes les champs libres;35238;02/01/2013;16:00;RdC champs libres, rdc 4;128
Rennes les champs libres;35238;02/01/2013;16:00;RdC champs libres, rdc retour;32
Rennes les champs libres;35238;02/01/2013;16:00;RdC vie du citoyen, rdc vie du citoyen;136
Rennes les champs libres;35238;02/01/2013;17:00;1er étage vie du citoyen, 1er etage vie du citoyen;18
Rennes les champs libres;35238;02/01/2013;17:00;RdC champs libres, rdc 2;14
Rennes les champs libres;35238;02/01/2013;17:00;RdC champs libres, rdc 3;291
Rennes les champs libres;35238;02/01/2013;17:00;RdC champs libres, rdc 4;109
Rennes les champs libres;35238;02/01/2013;17:00;RdC champs libres, rdc retour;20
Rennes les champs libres;35238;02/01/2013;17:00;RdC vie du citoyen, rdc vie du citoyen;117
Rennes les champs libres;35238;02/01/2013;18:00;1er étage vie du citoyen, 1er etage vie du citoyen;7
Rennes les champs libres;35238;02/01/2013;18:00;RdC champs libres, rdc 2;8
Rennes les champs libres;35238;02/01/2013;18:00;RdC champs libres, rdc 3;163
Rennes les champs libres;35238;02/01/2013;18:00;RdC champs libres, rdc 4;43
Rennes les champs libres;35238;02/01/2013;18:00;RdC champs libres, rdc retour;20
Rennes les champs libres;35238;02/01/2013;18:00;RdC vie du citoyen, rdc vie du citoyen;44
Rennes les champs libres;35238;03/01/2013;12:00;1er étage vie du citoyen, 1er etage vie du citoyen;13
Rennes les champs libres;35238;03/01/2013;12:00;RdC champs libres, rdc 2;5
Rennes les champs libres;35238;03/01/2013;12:00;RdC champs libres, rdc 3;215
Rennes les champs libres;35238;03/01/2013;12:00;RdC champs libres, rdc 4;61
Rennes les champs libres;35238;03/01/2013;12:00;RdC champs libres, rdc retour;18
Rennes les champs libres;35238;03/01/2013;12:00;RdC vie du citoyen, rdc vie du citoyen;60
Rennes les champs libres;35238;03/01/2013;13:00;1er étage vie du citoyen, 1er etage vie du citoyen;16
Rennes les champs libres;35238;03/01/2013;13:00;RdC champs libres, rdc 2;5
Rennes les champs libres;35238;03/01/2013;13:00;RdC champs libres, rdc 3;260
Rennes les champs libres;35238;03/01/2013;13:00;RdC champs libres, rdc 4;69
Rennes les champs libres;35238;03/01/2013;13:00;RdC champs libres, rdc retour;12
Rennes les champs libres;35238;03/01/2013;13:00;RdC vie du citoyen, rdc vie du citoyen;90
Rennes les champs libres;35238;03/01/2013;14:00;1er étage vie du citoyen, 1er etage vie du citoyen;28
Rennes les champs libres;35238;03/01/2013;14:00;RdC champs libres, rdc 2;5
Rennes les champs libres;35238;03/01/2013;14:00;RdC champs libres, rdc 3;359
Rennes les champs libres;35238;03/01/2013;14:00;RdC champs libres, rdc 4;112
Rennes les champs libres;35238;03/01/2013;14:00;RdC champs libres, rdc retour;26
Rennes les champs libres;35238;03/01/2013;14:00;RdC vie du citoyen, rdc vie du citoyen;105
Rennes les champs libres;35238;03/01/2013;15:00;1er étage vie du citoyen, 1er etage vie du citoyen;19
Rennes les champs libres;35238;03/01/2013;15:00;RdC champs libres, rdc 2;6
Rennes les champs libres;35238;03/01/2013;15:00;RdC champs libres, rdc 3;403
Rennes les champs libres;35238;03/01/2013;15:00;RdC champs libres, rdc 4;128
Rennes les champs libres;35238;03/01/2013;15:00;RdC champs libres, rdc retour;37
Rennes les champs libres;35238;03/01/2013;15:00;RdC vie du citoyen, rdc vie du citoyen;152
Rennes les champs libres;35238;03/01/2013;16:00;1er étage vie du citoyen, 1er etage vie du citoyen;17
Rennes les champs libres;35238;03/01/2013;16:00;RdC champs libres, rdc 2;12
Rennes les champs libres;35238;03/01/2013;16:00;RdC champs libres, rdc 3;326
Rennes les champs libres;35238;03/01/2013;16:00;RdC champs libres, rdc 4;117
Rennes les champs libres;35238;03/01/2013;16:00;RdC champs libres, rdc retour;32
Rennes les champs libres;35238;03/01/2013;16:00;RdC vie du citoyen, rdc vie du citoyen;105
Rennes les champs libres;35238;03/01/2013;17:00;1er étage vie du citoyen, 1er etage vie du citoyen;17
Rennes les champs libres;35238;03/01/2013;17:00;RdC champs libres, rdc 2;7
Rennes les champs libres;35238;03/01/2013;17:00;RdC champs libres, rdc 3;275
Rennes les champs libres;35238;03/01/2013;17:00;RdC champs libres, rdc 4;83
Rennes les champs libres;35238;03/01/2013;17:00;RdC champs libres, rdc retour;41
Rennes les champs libres;35238;03/01/2013;17:00;RdC vie du citoyen, rdc vie du citoyen;106
Rennes les champs libres;35238;03/01/2013;18:00;1er étage vie du citoyen, 1er etage vie du citoyen;13
Rennes les champs libres;35238;03/01/2013;18:00;RdC champs libres, rdc 2;8
Rennes les champs libres;35238;03/01/2013;18:00;RdC champs libres, rdc 3;166
Rennes les champs libres;35238;03/01/2013;18:00;RdC champs libres, rdc 4;58
Rennes les champs libres;35238;03/01/2013;18:00;RdC champs libres, rdc retour;16
Rennes les champs libres;35238;03/01/2013;18:00;RdC vie du citoyen, rdc vie du citoyen;57
Rennes les champs libres;35238;04/01/2013;12:00;1er étage vie du citoyen, 1er etage vie du citoyen;18
Rennes les champs libres;35238;04/01/2013;12:00;RdC champs libres, rdc 2;2
Rennes les champs libres;35238;04/01/2013;12:00;RdC champs libres, rdc 3;187
Rennes les champs libres;35238;04/01/2013;12:00;RdC champs libres, rdc 4;49
Rennes les champs libres;35238;04/01/2013;12:00;RdC champs libres, rdc retour;6
Rennes les champs libres;35238;04/01/2013;12:00;RdC vie du citoyen, rdc vie du citoyen;66
Rennes les champs libres;35238;04/01/2013;13:00;1er étage vie du citoyen, 1er etage vie du citoyen;14
Rennes les champs libres;35238;04/01/2013;13:00;RdC champs libres, rdc 2;2
Rennes les champs libres;35238;04/01/2013;13:00;RdC champs libres, rdc 3;239
Rennes les champs libres;35238;04/01/2013;13:00;RdC champs libres, rdc 4;65
Rennes les champs libres;35238;04/01/2013;13:00;RdC champs libres, rdc retour;9
Rennes les champs libres;35238;04/01/2013;13:00;RdC vie du citoyen, rdc vie du citoyen;83
Rennes les champs libres;35238;04/01/2013;14:00;1er étage vie du citoyen, 1er etage vie du citoyen;28
Rennes les champs libres;35238;04/01/2013;14:00;RdC champs libres, rdc 2;7
Rennes les champs libres;35238;04/01/2013;14:00;RdC champs libres, rdc 3;324
Rennes les champs libres;35238;04/01/2013;14:00;RdC champs libres, rdc 4;99
Rennes les champs libres;35238;04/01/2013;14:00;RdC champs libres, rdc retour;25
Rennes les champs libres;35238;04/01/2013;14:00;RdC vie du citoyen, rdc vie du citoyen;113
Rennes les champs libres;35238;04/01/2013;15:00;1er étage vie du citoyen, 1er etage vie du citoyen;24
Rennes les champs libres;35238;04/01/2013;15:00;RdC champs libres, rdc 2;12
Rennes les champs libres;35238;04/01/2013;15:00;RdC champs libres, rdc 3;360
Rennes les champs libres;35238;04/01/2013;15:00;RdC champs libres, rdc 4;107
Rennes les champs libres;35238;04/01/2013;15:00;RdC champs libres, rdc retour;29
Rennes les champs libres;35238;04/01/2013;15:00;RdC vie du citoyen, rdc vie du citoyen;141
Rennes les champs libres;35238;04/01/2013;16:00;1er étage vie du citoyen, 1er etage vie du citoyen;35
Rennes les champs libres;35238;04/01/2013;16:00;RdC champs libres, rdc 2;6
Rennes les champs libres;35238;04/01/2013;16:00;RdC champs libres, rdc 3;331
Rennes les champs libres;35238;04/01/2013;16:00;RdC champs libres, rdc 4;111
Rennes les champs libres;35238;04/01/2013;16:00;RdC champs libres, rdc retour;34
Rennes les champs libres;35238;04/01/2013;16:00;RdC vie du citoyen, rdc vie du citoyen;143
Rennes les champs libres;35238;04/01/2013;17:00;1er étage vie du citoyen, 1er etage vie du citoyen;18
Rennes les champs libres;35238;04/01/2013;17:00;RdC champs libres, rdc 2;11
Rennes les champs libres;35238;04/01/2013;17:00;RdC champs libres, rdc 3;307
Rennes les champs libres;35238;04/01/2013;17:00;RdC champs libres, rdc 4;90
Rennes les champs libres;35238;04/01/2013;17:00;RdC champs libres, rdc retour;25
Rennes les champs libres;35238;04/01/2013;17:00;RdC vie du citoyen, rdc vie du citoyen;109
Rennes les champs libres;35238;04/01/2013;18:00;1er étage vie du citoyen, 1er etage vie du citoyen;6
Rennes les champs libres;35238;04/01/2013;18:00;RdC champs libres, rdc 2;5
Rennes les champs libres;35238;04/01/2013;18:00;RdC champs libres, rdc 3;144
Rennes les champs libres;35238;04/01/2013;18:00;RdC champs libres, rdc 4;53
Rennes les champs libres;35238;04/01/2013;18:00;RdC champs libres, rdc retour;18
Rennes les champs libres;35238;04/01/2013;18:00;RdC vie du citoyen, rdc vie du citoyen;56
