climate_11h,climate_14h,climate_17h,date,max_temperature,min_temperature,sunny_time
Bruine,Bruine,Bruine,2013-02-01,12.5,7.1,0
Très nuageux,Très nuageux,Très nuageux,2013-03-01,4.8,1.3,0
,,,2013-04-01,10.4,0.3,10
,Très nuageux,Bruine,2013-05-01,14.3,7.9,3
Très nuageux,,,2013-06-01,18.7,8.9,8
,,,2013-08-01,32.8,18.4,14
,,,2013-09-01,22.6,8.4,12
Très nuageux,Très nuageux,Bruine,2013-10-01,20.1,13.3,0
Bruine,Rares averses,Bruine,2013-11-01,16.1,11.2,0
,,,2013-12-01,10.4,0.8,5
Bancs de brouillard,Très nuageux,Très nuageux,2013-01-13,7.9,1.0,1
,Très nuageux,,2013-01-15,7.3,0.9,4
Très nuageux,Très nuageux,,2013-01-16,4.6,1.2,2
Très nuageux,,Très nuageux,2013-01-17,2.7,4.2,2
Pluie verglaçante,Très nuageux,Pluie verglaçante,2013-01-18,0.1,3.2,0
,Très nuageux,Très nuageux,2013-01-19,1.8,1.0,0
Bruine,,Très nuageux,2013-01-20,3.5,0.4,0
Bruine,Très nuageux,Très nuageux,2013-01-22,7.0,0.4,0
Très nuageux,,Très nuageux,2013-01-23,5.6,0.1,0
,Très nuageux,Très nuageux,2013-01-24,6.2,1.6,1
,Très nuageux,Très nuageux,2013-01-25,5.9,3.1,0
,,,2013-01-26,11.1,0.8,5
Bruine,Très nuageux,Très nuageux,2013-01-27,11.8,7.5,4
Bruine,Très nuageux,Bruine,2013-01-29,13.9,10.7,0
Bruine,Très nuageux,,2013-01-30,14.4,9.1,3
,Très nuageux,Très nuageux,2013-01-31,14.1,4.6,1
Très nuageux,,Très nuageux,2013-01-02,11.4,2.1,3
Très nuageux,Eclaircies,Très nuageux,2013-02-02,7.7,4.3,4
Très nuageux,Très nuageux,Très nuageux,2013-03-02,3.6,2.3,0
,Très nuageux,Très nuageux,2013-05-02,11.0,7.9,0
Très nuageux,Eclaircies,,2013-06-02,19.3,6.5,11
Très nuageux,Très nuageux,Très nuageux,2013-07-02,22.4,9.4,1
Eclaircies,,Très nuageux,2013-08-02,26.4,15.7,4
,,,2013-09-02,24.8,7.0,13
Très nuageux,Très nuageux,,2013-10-02,23.5,15.1,6
Très nuageux,Eclaircies,Très nuageux,2013-12-02,9.3,1.0,1
,Très nuageux,Bruine,2013-02-13,7.6,2.7,1
Bruine,,Très nuageux,2013-02-14,13.4,4.1,4
,,Très nuageux,2013-02-15,12.1,0.2,5
Bancs de brouillard,Très nuageux,Eclaircies,2013-02-16,11.1,1.6,4
Très nuageux,,,2013-02-17,8.3,2.4,7
,,,2013-02-19,11.8,2.3,10
,,,2013-02-20,10.4,2.9,9
,,,2013-02-21,5.1,1.5,10
,,,2013-02-22,2.9,2.4,6
Très nuageux,Très nuageux,Eclaircies,2013-02-23,2.8,4.7,1
Très nuageux,Très nuageux,Très nuageux,2013-02-24,5.4,0.6,2
Très nuageux,Très nuageux,Très nuageux,2013-02-26,4.7,2.9,1
,,Très nuageux,2013-02-27,5.7,1.2,0
Très nuageux,Très nuageux,Très nuageux,2013-02-28,4.6,2.7,0
Très nuageux,Très nuageux,Très nuageux,2013-01-03,11.5,9.0,0
Très nuageux,Très nuageux,Bruine,2013-02-03,10.0,1.9,0
Très nuageux,Très nuageux,,2013-03-03,6.4,0.7,4
,,,2013-05-03,17.5,4.1,13
,,,2013-06-03,19.2,7.8,15
Très nuageux,Très nuageux,Très nuageux,2013-07-03,19.8,14.3,2
,,,2013-08-03,25.1,14.3,11
,,,2013-09-03,26.8,8.1,12
Très nuageux,Très nuageux,Très nuageux,2013-10-03,23.7,16.1,2
Très nuageux,Très nuageux,Très nuageux,2013-12-03,8.5,4.8,1
Très nuageux,Très nuageux,Très nuageux,2013-03-13,7.4,1.3,2
,,,2013-03-14,7.7,0.9,9
,Très nuageux,Bruine,2013-03-15,10.3,3.1,4
Bruine,Bruine,Très nuageux,2013-03-16,10.6,4.6,2
,Bruine,,2013-03-17,10.4,3.0,6
Très nuageux,Très nuageux,Très nuageux,2013-03-19,10.2,1.3,2
,,Très nuageux,2013-03-20,11.7,1.7,5
Bruine,Bruine,Bruine,2013-03-21,8.7,5.3,0
Très nuageux,,Bruine,2013-03-22,14.8,7.3,1
Très nuageux,Très nuageux,,2013-03-23,14.1,6.2,4
,,Très nuageux,2013-03-24,12.9,2.6,4
Très nuageux,Très nuageux,Très nuageux,2013-03-26,8.4,3.1,0
Très nuageux,Très nuageux,Très nuageux,2013-03-27,8.2,2.9,2
,Très nuageux,,2013-03-28,8.5,0.8,8
Très nuageux,Très nuageux,Bruine,2013-03-29,5.4,0.9,0
Bruine,,,2013-03-30,5.7,1.6,0
Très nuageux,Très nuageux,Très nuageux,2013-02-04,13.0,8.2,0
,,,2013-03-04,12.8,1.1,10
